Sipp,2025-08-01 to 2025-08-02,2025-08-03 to 2025-08-07,2025-08-08 to 2025-08-12,2025-08-13 to 2025-08-14,2025-08-15 to 2025-08-16,2025-08-17 to 2025-08-19,2025-08-20 to 2025-08-20,2025-08-21 to 2025-08-21,2025-08-22 to 2025-08-23,2025-08-24 to 2025-08-28,2025-08-29 to 2025-08-30,2025-08-31 to 2025-08-31,2025-09-01 to 2025-09-30,2025-10-01 to 2025-10-31,2025-11-01 to 2025-12-15,2025-12-16 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-02-26
CMAS,131.00,131.00,131.00,131.00,119.70,98.70,98.70,98.70,98.70,98.70,96.40,106.00,106.00,100.70,87.10,121.00,121.00,92.40
CMMS,102.60,102.60,102.60,102.60,102.60,102.60,76.00,76.00,76.00,76.00,76.00,83.60,83.60,87.40,87.40,87.40,87.40,87.40
EMAS,88.80,88.80,88.80,88.80,88.80,88.80,65.80,65.80,65.80,65.80,42.40,46.60,46.60,75.70,75.70,75.70,75.70,75.70
EMMS,77.40,88.80,77.40,53.90,53.90,51.90,51.90,49.60,49.60,49.60,49.60,49.60,31.20,31.20,31.20,64.20,48.50,48.50
ESAS,72.00,72.00,72.00,57.10,57.10,54.40,54.40,54.40,45.50,45.50,45.50,45.50,32.20,33.70,33.70,67.40,67.40,51.00
ESMS,51.70,51.70,51.70,51.70,51.70,51.70,51.70,47.40,47.40,36.70,36.70,36.70,27.50,29.70,29.70,45.40,45.40,34.50
PMAS,152.20,152.20,152.20,152.20,139.10,114.60,114.60,114.60,114.60,114.60,111.90,123.10,123.10,116.90,101.20,142.30,142.30,107.30
PMMS,68.80,68.80,68.80,68.80,68.80,68.80,68.80,68.80,68.80,68.80,68.80,68.80,41.60,43.50,43.50,43.50,43.50,43.50
PSAS,68.80,68.80,68.80,68.80,68.80,68.80,68.80,68.80,68.80,68.80,68.80,68.80,41.60,43.50,43.50,43.50,43.50,43.50
PSMS,77.40,88.80,77.40,53.90,53.90,51.90,51.90,49.60,49.60,49.60,49.60,49.60,31.20,31.20,31.20,64.20,48.50,48.50
SMAS,127.60,127.60,127.60,127.60,127.60,127.60,127.60,127.60,127.60,127.60,127.60,127.60,93.30,97.60,97.60,97.60,97.60,97.60
SSAS,95.60,95.60,95.60,95.60,87.40,72.10,72.10,72.10,72.10,72.10,70.40,77.50,77.50,73.60,63.80,89.50,89.50,67.60
SSMS,83.80,83.80,83.80,63.50,63.50,63.50,63.50,63.50,63.50,63.50,61.80,61.80,40.40,42.30,42.30,78.40,78.40,59.30

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
