Sipp,2025-04-08 to 2025-04-08,2025-04-09 to 2025-04-09,2025-04-10 to 2025-04-14,2025-04-15 to 2025-04-17,2025-04-18 to 2025-04-23,2025-04-24 to 2025-04-25,2025-04-26 to 2025-05-03,2025-05-04 to 2025-05-05,2025-05-06 to 2025-05-07,2025-05-08 to 2025-05-25,2025-05-26 to 2025-05-27,2025-05-28 to 2025-05-30,2025-05-31 to 2025-06-01,2025-06-02 to 2025-06-07,2025-06-08 to 2025-06-08,2025-06-09 to 2025-06-09,2025-06-10 to 2025-06-12,2025-06-13 to 2025-06-17,2025-06-18 to 2025-06-20,2025-06-21 to 2025-06-21,2025-06-22 to 2025-06-23,2025-06-24 to 2025-07-10,2025-07-11 to 2025-07-13,2025-07-14 to 2025-08-19,2025-08-20 to 2025-08-23,2025-08-24 to 2025-08-24,2025-08-25 to 2025-08-28,2025-08-29 to 2025-08-31,2025-09-01 to 2025-10-01,2025-10-02 to 2025-10-31,2025-11-01 to 2025-11-03
CMAS,104.88,82.80,82.80,82.91,82.91,82.91,82.91,82.91,69.92,76.94,76.94,76.94,90.96,128.91,134.89,134.89,134.89,134.89,134.89,134.89,134.89,141.45,141.45,182.62,134.78,134.78,134.78,134.78,96.02,96.02,80.84
EMAS,73.37,73.37,73.37,73.37,73.37,73.37,73.37,44.04,44.04,50.48,50.48,80.73,80.73,80.73,80.73,57.73,57.73,57.73,84.41,84.41,84.41,88.44,88.44,113.85,84.29,84.29,84.29,58.07,58.07,84.41,84.41
EMMS,53.47,53.47,46.69,46.69,34.62,46.69,33.12,33.12,33.12,36.45,40.59,40.59,40.59,58.88,61.52,61.52,61.52,45.19,45.19,61.52,61.52,64.52,64.52,82.80,61.52,45.19,45.19,45.19,42.89,42.89,42.89
ESMS,42.78,42.78,42.78,39.10,39.10,39.10,30.70,30.70,30.70,34.15,34.15,34.15,34.15,42.20,44.16,44.16,44.16,44.16,44.16,44.16,73.94,73.94,75.32,75.32,75.32,75.32,44.16,44.16,35.99,35.99,35.99
PMMS,36.22,36.22,36.22,36.22,36.22,36.22,36.22,36.22,36.22,44.51,44.51,44.51,44.51,44.51,44.51,44.51,47.61,47.61,47.61,47.61,47.61,47.61,47.61,47.61,47.61,47.61,47.61,47.61,47.61,47.61,47.61
PSAS,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81,56.81
PSMS,31.97,31.97,31.97,31.97,31.97,31.97,31.97,31.97,31.97,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19
SSAS,95.68,95.68,95.68,95.68,95.68,95.68,95.68,95.68,75.21,82.91,82.91,82.91,82.91,177.56,185.84,185.84,185.84,185.84,185.84,185.84,185.84,185.84,185.84,185.84,185.84,185.84,185.84,185.84,87.51,87.51,87.51
SSMS,76.82,76.82,76.82,76.82,76.82,76.82,47.84,47.84,47.84,52.67,66.58,66.58,66.58,128.91,134.89,134.89,134.89,134.89,134.89,134.89,134.89,141.45,141.45,149.04,134.78,134.78,134.78,134.78,70.27,70.27,70.27

Prices adjusted by 15% (1.15x multiplier)
