Sipp,2025-05-27 to 2025-05-27,2025-05-28 to 2025-05-30,2025-05-31 to 2025-06-01,2025-06-02 to 2025-06-04,2025-06-05 to 2025-06-06,2025-06-07 to 2025-06-09,2025-06-10 to 2025-06-10
CMAS,106.20,91.30,91.30,91.30,91.30,82.90,82.90
EMAS,63.70,63.70,63.70,63.70,63.70,63.70,63.70
EMMS,46.50,43.80,42.70,42.70,42.70,42.70,32.00
ESMS,41.60,41.60,41.60,41.60,34.00,31.00,29.90
PMMS,57.70,57.70,57.70,57.70,57.70,57.70,50.20
PSAS,57.70,57.70,57.70,57.70,57.70,57.70,50.20
PSMS,46.50,43.80,42.70,42.70,42.70,42.70,32.00
SSAS,66.70,66.70,66.70,66.70,66.70,60.70,60.70
SSMS,52.30,52.30,52.30,52.30,52.30,52.30,36.30

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
