Sipp,2025-06-14 to 2025-06-14,2025-06-15 to 2025-06-23,2025-06-24 to 2025-06-24,2025-06-25 to 2025-06-28
CMAS,106.50,91.10,91.10,91.10
CMMS,73.80,73.80,77.40,77.40
EMAS,64.00,64.00,67.10,67.10
EMMS,26.70,26.70,26.70,32.10
ESAS,31.00,31.00,31.00,33.10
ESMS,24.60,24.60,24.60,29.90
PMAS,123.70,113.40,113.40,113.40
PSAS,84.40,84.40,84.40,50.20
PSMS,26.70,26.70,26.70,32.10
SMAS,41.70,41.70,41.70,84.40
SSAS,77.90,71.40,71.40,71.40
SSMS,36.30,36.30,36.30,36.30

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
