Sipp,2025-06-17 to 2025-06-17,2025-06-18 to 2025-06-23,2025-06-24 to 2025-06-24,2025-06-25 to 2025-06-28,2025-06-29 to 2025-06-30,2025-07-01 to 2025-07-10,2025-07-11 to 2025-07-13,2025-07-14 to 2025-07-14,2025-07-15 to 2025-07-16,2025-07-17 to 2025-07-23,2025-07-24 to 2025-08-06,2025-08-07 to 2025-08-09,2025-08-10 to 2025-08-16,2025-08-17 to 2025-08-19,2025-08-20 to 2025-08-21,2025-08-22 to 2025-08-22,2025-08-23 to 2025-08-27,2025-08-28 to 2025-08-28,2025-08-29 to 2025-08-29,2025-08-30 to 2025-08-31,2025-09-01 to 2025-10-01,2025-10-02 to 2025-10-17,2025-10-18 to 2025-10-31,2025-11-01 to 2025-12-12,2025-12-13 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2026-01-01,2026-01-02 to 2026-01-05,2026-01-06 to 2026-01-12
CMAS,106.50,91.10,91.10,91.10,97.70,104.90,107.20,138.40,138.40,152.20,152.20,152.20,152.20,159.10,117.50,117.50,116.10,116.10,116.10,82.80,82.80,82.80,86.00,70.30,86.90,112.40,117.50,91.10,91.10
CMMS,73.80,73.80,77.40,77.40,77.40,77.40,77.40,99.70,99.70,109.70,109.70,109.70,109.70,114.70,84.90,84.90,84.90,84.90,84.90,79.50,79.50,79.50,84.90,67.80,84.90,84.90,84.90,84.90,76.60
EMAS,64.00,64.00,67.10,67.10,67.10,67.10,67.10,67.10,67.10,67.10,94.90,94.90,94.90,99.20,73.60,73.60,73.60,73.60,47.80,47.80,47.80,73.60,73.60,73.60,73.60,73.60,73.60,73.60,73.60
EMMS,27.60,27.60,27.60,32.10,32.10,43.80,50.20,50.20,50.20,55.20,55.20,55.20,55.20,57.70,56.50,56.50,56.50,56.50,56.50,56.50,31.00,31.00,31.00,31.00,31.00,49.60,49.60,37.50,37.50
ESAS,31.00,31.00,31.00,33.10,33.10,43.80,52.40,52.40,52.40,57.60,57.60,57.60,57.60,60.20,60.20,51.40,51.40,51.40,51.40,51.40,33.50,33.50,33.50,33.50,33.50,67.10,67.10,50.50,50.50
ESMS,24.60,24.60,24.60,29.90,29.90,41.70,47.00,47.00,47.00,51.70,51.70,34.80,51.70,54.10,54.10,54.10,54.10,54.10,36.40,36.40,28.60,28.60,28.60,28.60,28.60,45.30,45.30,34.20,34.20
PMAS,123.60,113.40,113.40,113.40,113.40,191.00,191.00,191.00,186.40,205.10,205.10,205.10,205.10,214.40,214.40,214.40,214.40,214.40,214.40,214.40,100.80,100.80,100.80,100.80,100.80,141.10,141.10,105.80,105.80
PMMS,84.40,84.40,84.40,50.20,50.20,57.70,68.40,68.40,68.40,75.20,75.20,75.20,75.20,78.60,78.60,78.60,78.60,78.60,78.60,78.60,43.00,43.40,43.40,43.40,43.40,43.40,43.40,43.40,43.40
PSAS,84.40,84.40,84.40,50.20,50.20,57.70,68.40,68.40,68.40,75.20,75.20,75.20,75.20,78.60,78.60,78.60,78.60,78.60,78.60,78.60,43.00,43.40,43.40,43.40,43.40,43.40,43.40,43.40,43.40
PSMS,27.60,27.60,27.60,32.10,32.10,43.80,50.20,50.20,50.20,55.20,55.20,55.20,55.20,57.70,56.50,56.50,56.50,56.50,56.50,56.50,31.00,31.00,31.00,31.00,31.00,49.60,49.60,37.50,37.50
SMAS,41.70,41.70,41.70,84.40,84.40,105.80,127.10,127.10,127.10,139.80,139.80,139.80,139.80,146.20,146.20,146.20,146.20,146.20,146.20,146.20,98.00,98.00,98.00,98.00,98.00,179.60,179.60,179.60,179.60
SSAS,77.80,71.40,71.40,71.40,71.40,119.90,119.90,119.90,117.10,128.80,128.80,128.80,128.80,134.70,134.70,134.70,134.70,134.70,134.70,134.70,63.60,63.60,63.60,63.60,63.60,88.90,88.90,66.70,66.70
SSMS,36.30,36.30,36.30,36.30,36.30,52.40,63.00,63.00,63.00,69.30,69.30,69.30,69.30,72.50,72.50,72.50,72.50,72.50,72.50,72.50,42.20,42.20,42.20,42.20,42.20,78.00,78.00,58.60,58.60

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
