Sipp,2025-08-27 to 2025-08-27,2025-08-28 to 2025-08-28,2025-08-29 to 2025-08-31,2025-09-01 to 2025-09-05,2025-09-06 to 2025-09-08,2025-09-09 to 2025-09-20,2025-09-21 to 2025-09-22,2025-09-23 to 2025-09-24,2025-09-25 to 2025-09-25,2025-09-26 to 2025-09-30,2025-10-01 to 2025-10-06,2025-10-07 to 2025-10-26,2025-10-27 to 2025-10-31,2025-11-01 to 2025-12-10,2025-12-11 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-01-04,2026-01-05 to 2026-03-13,2026-03-14 to 2026-03-15,2026-03-16 to 2026-03-24
CMAS,103.70,99.90,99.90,99.90,99.90,94.80,94.80,92.60,92.60,101.90,92.60,92.60,96.80,92.20,92.20,118.80,129.10,129.10,96.80,96.80,96.80,96.80
CMMS,74.60,74.60,74.60,74.60,74.60,74.60,74.60,74.60,74.60,82.10,82.10,82.10,85.80,85.80,85.80,85.80,115.90,115.90,115.90,85.80,115.90,115.90
EMAS,64.70,64.70,34.40,34.40,64.70,64.70,34.40,34.40,71.10,71.10,70.10,40.30,42.20,42.20,73.30,74.40,78.90,73.30,73.30,73.30,73.30,76.60
EMMS,49.40,49.40,49.40,27.30,27.30,27.30,27.30,27.30,27.30,29.60,29.60,29.60,30.90,30.90,30.90,64.20,64.20,48.50,48.50,48.50,48.50,71.00
ESAS,52.60,52.60,36.80,29.00,29.00,29.00,29.00,29.00,29.00,31.90,31.90,31.90,33.40,33.40,33.40,63.10,63.10,47.30,47.30,47.30,47.30,53.60
ESMS,47.20,35.30,35.30,24.80,24.80,24.80,24.80,24.80,24.80,27.20,27.20,27.20,28.50,28.50,28.50,42.80,42.80,33.80,33.80,33.80,33.80,36.30
PMAS,120.50,115.80,115.80,115.80,115.80,110.10,110.10,107.50,107.50,118.30,107.40,107.40,112.30,107.10,107.10,149.90,149.90,149.90,112.30,112.30,112.30,112.30
PMMS,68.60,68.60,68.60,37.60,37.60,37.60,37.60,37.60,37.60,41.40,41.40,41.40,43.20,43.20,43.20,43.20,43.20,43.20,43.20,43.20,43.20,43.20
PSAS,68.60,68.60,68.60,37.60,37.60,37.60,37.60,37.60,37.60,41.40,41.40,41.40,43.20,43.20,43.20,43.20,43.20,43.20,43.20,43.20,43.20,43.20
PSMS,49.40,49.40,49.40,27.30,27.30,27.30,27.30,27.30,27.30,29.60,29.60,29.60,30.90,30.90,30.90,64.20,64.20,48.50,48.50,48.50,48.50,71.00
SMAS,127.40,127.40,127.40,84.70,84.70,84.70,84.70,84.70,84.70,93.10,93.10,93.10,97.30,97.30,97.30,97.30,97.30,97.30,97.30,97.30,97.30,97.30
SSAS,75.90,73.30,73.30,73.30,73.30,69.40,69.40,67.80,67.80,74.60,67.80,67.80,70.90,67.60,67.60,94.40,94.40,94.40,70.90,70.90,70.90,70.90
SSMS,63.30,63.30,63.30,41.90,41.90,41.90,41.90,41.90,41.90,46.10,46.10,46.10,48.20,48.20,48.20,82.80,82.80,82.80,62.20,62.20,62.20,62.20

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
