Sipp,2025-09-25 to 2025-09-25,2025-09-26 to 2025-10-01,2025-10-02 to 2025-10-06,2025-10-07 to 2025-10-07,2025-10-08 to 2025-10-08,2025-10-09 to 2025-10-15,2025-10-16 to 2025-10-22,2025-10-23 to 2025-10-24,2025-10-25 to 2025-10-26,2025-10-27 to 2025-11-01,2025-11-02 to 2025-11-06,2025-11-07 to 2025-11-24,2025-11-25 to 2025-12-10,2025-12-11 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-03-15,2026-03-16 to 2026-04-07,2026-04-08 to 2026-04-22
CMAS,88.40,88.40,88.40,88.40,88.40,80.90,98.00,95.70,105.20,105.20,82.80,82.80,86.60,86.60,116.20,121.10,121.10,90.80,90.80,90.80
EMAS,63.20,63.20,63.20,34.80,34.80,34.80,34.80,34.80,69.60,69.60,69.60,38.20,40.00,72.70,72.70,77.40,73.30,73.30,76.60,73.30
EMMS,41.60,41.60,26.10,26.10,26.10,26.10,26.10,26.10,28.70,28.70,28.70,28.70,30.00,30.00,64.20,64.20,48.50,48.50,71.00,71.00
ESAS,37.20,37.20,28.10,28.10,28.10,28.10,28.10,28.10,32.30,32.30,32.30,32.30,32.30,32.30,63.10,63.10,47.30,47.30,50.30,50.30
ESMS,33.10,33.10,24.10,24.10,24.10,24.10,24.10,24.10,26.50,26.50,26.50,26.50,27.70,27.70,42.80,42.80,34.10,34.10,34.10,34.10
PMAS,102.60,102.60,102.60,102.60,102.60,93.80,113.80,111.10,122.20,122.20,96.10,96.10,100.50,100.50,140.70,140.70,140.70,105.40,105.40,105.40
PMMS,57.30,57.30,57.30,57.30,36.10,36.10,36.10,36.10,39.80,39.80,39.80,39.80,41.50,62.90,87.50,87.50,87.50,66.60,66.60,66.60
PSAS,57.30,57.30,57.30,57.30,36.10,36.10,36.10,36.10,39.80,39.80,39.80,39.80,41.50,62.90,87.50,87.50,87.50,66.60,66.60,66.60
PSMS,41.60,41.60,26.10,26.10,26.10,26.10,26.10,26.10,28.70,28.70,28.70,28.70,30.00,30.00,64.20,64.20,48.50,48.50,71.00,71.00
SMAS,154.40,154.40,81.60,81.60,81.60,81.60,81.60,81.60,90.00,90.00,90.00,90.00,93.80,93.80,177.60,192.70,192.70,192.70,192.70,192.70
SSAS,64.70,64.70,64.70,64.70,64.70,59.20,71.70,70.00,77.00,77.00,60.70,60.70,63.40,63.40,88.60,88.60,88.60,66.50,66.50,66.50
SSMS,56.80,56.80,40.20,40.20,40.20,40.20,40.20,40.20,45.70,44.20,44.20,44.20,46.20,46.20,77.70,77.70,77.70,58.40,58.40,58.40

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
