Sipp,2025-10-22 to 2025-10-27,2025-10-28 to 2025-10-28,2025-10-29 to 2025-10-29,2025-10-30 to 2025-11-01,2025-11-02 to 2025-11-02,2025-11-03 to 2025-11-04,2025-11-05 to 2025-11-06,2025-11-07 to 2025-11-07,2025-11-08 to 2025-11-18,2025-11-19 to 2025-11-20,2025-11-21 to 2025-12-10,2025-12-11 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2025-12-21,2025-12-22 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-01-04,2026-01-05 to 2026-03-13,2026-03-14 to 2026-03-15,2026-03-16 to 2026-05-04,2026-05-05 to 2026-05-19
CMAS,100.76,100.76,97.35,97.35,100.76,100.76,98.01,98.01,84.81,82.83,91.19,91.19,110.88,122.87,128.48,128.48,99.99,99.99,99.99,99.99,99.99
CMMS,72.82,72.82,72.82,72.82,72.82,72.82,72.82,72.82,72.82,72.82,80.19,80.19,80.19,88.77,92.84,92.84,92.84,83.82,92.84,92.84,83.82
EMAS,63.14,63.14,63.14,46.97,46.97,46.97,46.97,38.50,38.50,38.50,42.35,51.70,69.52,76.89,80.41,80.41,80.41,72.60,80.63,80.63,72.60
EMMS,28.71,28.71,28.71,28.71,28.71,26.51,26.51,26.51,26.51,26.51,29.26,29.26,67.54,67.54,70.62,53.35,53.35,53.35,53.35,78.10,78.10
ESAS,30.91,30.91,30.91,30.91,30.91,28.71,28.71,28.71,28.71,28.71,31.57,31.57,66.44,66.44,69.41,52.03,52.03,52.03,52.03,55.44,55.44
ESMS,26.51,26.51,26.51,26.51,26.51,24.31,24.31,24.31,24.31,24.31,26.73,26.73,45.10,45.10,47.08,37.51,37.51,37.51,37.51,37.51,37.51
PMAS,112.97,112.97,112.97,112.97,124.41,124.41,113.74,113.74,98.45,96.14,105.82,105.82,148.06,148.06,154.77,154.77,116.05,116.05,116.05,116.05,116.05
PMMS,63.36,39.93,39.93,39.93,39.93,39.93,39.93,39.93,39.93,39.93,43.89,66.55,92.51,92.51,96.69,96.69,72.93,72.93,73.59,73.59,73.59
PSAS,63.36,39.93,39.93,39.93,39.93,39.93,39.93,39.93,39.93,39.93,43.89,66.55,92.51,92.51,96.69,96.69,72.93,72.93,73.59,73.59,73.59
PSMS,28.71,28.71,28.71,28.71,28.71,26.51,26.51,26.51,26.51,26.51,29.26,29.26,67.54,67.54,70.62,53.35,53.35,53.35,53.35,78.10,78.10
SMAS,90.09,90.09,90.09,90.09,90.09,90.09,90.09,90.09,90.09,90.09,99.11,99.11,169.29,187.77,196.35,196.35,196.35,196.35,196.35,196.35,196.35
SSAS,71.28,71.28,71.28,71.28,78.32,78.32,71.72,71.72,62.15,60.72,66.77,66.77,93.28,93.28,97.46,97.46,73.26,73.26,73.26,73.26,73.26
SSMS,38.83,38.83,38.83,38.83,38.83,38.83,38.83,38.83,38.83,38.83,42.68,42.68,81.84,81.84,85.58,85.58,64.35,64.35,64.35,64.35,64.35

Prices adjusted by 10% (1.10x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
