Sipp,2025-11-11 to 2025-11-11,2025-11-12 to 2025-11-24,2025-11-25 to 2025-12-08,2025-12-09 to 2025-12-10,2025-12-11 to 2025-12-14,2025-12-15 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-01-02,2026-01-03 to 2026-01-04,2026-01-05 to 2026-01-05,2026-01-06 to 2026-01-10,2026-01-11 to 2026-01-12,2026-01-13 to 2026-01-13,2026-01-14 to 2026-01-14,2026-01-15 to 2026-03-13,2026-03-14 to 2026-03-15,2026-03-16 to 2026-03-31,2026-04-01 to 2026-05-04,2026-05-05 to 2026-05-22,2026-05-23 to 2026-06-01,2026-06-02 to 2026-06-07,2026-06-08 to 2026-06-08
CMAS,99.97,97.24,91.52,89.31,98.28,98.28,130.78,144.95,144.95,113.36,113.36,113.36,113.36,118.56,118.56,118.56,118.56,118.56,118.56,118.56,118.56,118.56,151.58,136.76
CMMS,86.06,86.06,86.06,86.06,94.64,94.64,94.64,104.78,104.78,104.78,104.78,94.64,94.64,98.93,98.93,98.93,98.93,109.46,109.46,109.46,98.93,109.46,109.46,98.93
EMAS,46.54,46.54,46.54,46.54,54.47,54.47,54.47,87.62,90.74,90.74,55.64,55.64,55.64,55.64,54.21,54.21,52.91,52.91,52.91,95.29,85.80,94.90,94.90,85.80
EMMS,30.16,30.16,30.16,30.16,33.15,38.74,79.82,79.82,60.32,60.32,60.32,60.32,60.32,63.05,63.05,63.05,63.05,63.05,92.30,92.30,92.30,92.30,101.14,101.14
ESAS,33.93,33.93,33.93,33.93,37.31,37.31,58.24,58.24,58.24,58.24,58.24,58.24,58.24,59.54,58.11,58.11,56.68,56.68,56.68,65.65,65.65,65.65,76.18,76.18
ESMS,28.73,28.73,28.73,28.73,31.59,31.59,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,41.47,41.47,41.47,41.47,44.59,44.59,44.59,60.06,60.06
PMAS,116.09,112.58,106.08,103.61,114.01,114.01,175.63,175.63,175.63,131.56,131.56,131.56,131.56,137.67,137.67,137.67,137.67,137.67,137.67,137.67,137.67,137.67,233.22,233.22
PMMS,47.19,47.19,47.19,47.19,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,83.98,83.98,83.98,141.05,141.05
PSAS,47.19,47.19,47.19,47.19,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,83.98,83.98,83.98,141.05,141.05
PSMS,30.16,30.16,30.16,30.16,33.15,38.74,79.82,79.82,60.32,60.32,60.32,60.32,60.32,63.05,63.05,63.05,63.05,63.05,92.30,92.30,92.30,92.30,101.14,101.14
SMAS,106.08,106.08,106.08,106.08,116.61,116.61,199.81,221.65,221.65,221.65,221.65,199.81,199.81,208.91,208.91,208.91,208.91,231.66,231.66,231.66,208.91,231.66,231.66,208.91
SSAS,73.32,71.50,67.08,65.52,72.02,72.02,110.63,110.63,110.63,83.07,83.07,83.07,83.07,86.84,86.84,86.84,86.84,86.84,86.84,86.84,86.84,86.84,146.64,146.64
SSMS,45.63,45.63,45.63,45.63,50.18,50.18,96.98,96.98,96.98,72.93,72.93,72.93,72.93,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,76.31,128.57,128.57

Prices adjusted by 30% (1.30x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
