Sipp,2025-11-25 to 2025-11-25,2025-11-26 to 2025-12-08,2025-12-09 to 2025-12-10,2025-12-11 to 2025-12-15,2025-12-16 to 2025-12-19,2025-12-20 to 2025-12-22,2025-12-23 to 2025-12-24,2025-12-25 to 2025-12-31,2026-01-01 to 2026-01-01,2026-01-02 to 2026-01-02,2026-01-03 to 2026-01-04,2026-01-05 to 2026-01-10,2026-01-11 to 2026-01-11,2026-01-12 to 2026-01-12,2026-01-13 to 2026-01-14,2026-01-15 to 2026-01-24,2026-01-25 to 2026-02-28,2026-03-01 to 2026-03-13,2026-03-14 to 2026-03-15,2026-03-16 to 2026-03-31,2026-04-01 to 2026-05-04,2026-05-05 to 2026-05-22,2026-05-23 to 2026-06-01,2026-06-02 to 2026-06-07,2026-06-08 to 2026-06-10,2026-06-11 to 2026-06-19,2026-06-20 to 2026-06-22
CMAS,76.70,74.70,70.20,70.20,108.00,108.00,105.50,116.00,116.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,91.00,91.00,91.00,91.00,91.00,91.00,91.00,116.90,105.40,105.40,154.00
CMMS,80.80,80.80,80.80,80.80,80.80,80.80,80.80,80.80,80.80,80.80,80.80,72.90,72.90,72.90,72.90,72.90,76.20,76.20,84.40,84.40,84.40,76.20,84.40,84.40,76.20,76.20,114.00
EMAS,42.70,42.70,42.70,40.90,40.90,61.20,61.20,67.40,70.00,70.00,45.00,45.00,43.90,43.90,42.90,41.80,43.20,43.20,43.20,43.20,73.20,66.10,73.20,73.20,66.10,66.10,81.10
EMMS,24.10,24.10,24.10,24.10,36.20,36.20,36.20,39.80,39.80,27.60,27.60,27.60,27.60,27.60,27.60,27.60,29.10,48.50,48.50,71.00,71.00,71.00,71.00,77.80,77.80,77.80,77.80
ESAS,26.10,26.10,26.10,26.10,37.20,37.20,37.20,41.00,41.00,28.70,28.70,28.70,28.70,28.70,28.70,28.70,30.60,46.20,46.20,46.20,50.40,50.40,50.40,58.60,58.60,58.60,58.60
ESMS,22.10,22.10,22.10,22.10,31.50,31.50,31.50,34.70,34.70,24.30,24.30,24.30,24.30,24.30,24.30,24.30,25.70,34.20,34.20,34.20,34.20,34.20,34.20,46.20,46.20,46.20,46.20
PMAS,89.00,86.60,81.40,81.40,125.40,125.40,122.50,134.70,134.70,101.00,101.00,101.00,101.00,101.00,101.00,101.00,105.60,105.60,105.60,105.60,105.60,105.60,105.60,178.90,178.90,178.90,178.90
PMMS,36.20,36.20,36.20,36.20,55.90,55.90,55.90,61.50,61.50,39.80,39.80,39.80,39.80,39.80,39.80,39.80,41.60,41.60,41.60,41.60,64.60,64.60,64.60,108.50,108.50,108.50,108.50
PSAS,36.20,36.20,36.20,36.20,55.90,55.90,55.90,61.50,61.50,39.80,39.80,39.80,39.80,39.80,39.80,39.80,41.60,41.60,41.60,41.60,64.60,64.60,64.60,108.50,108.50,108.50,108.50
PSMS,24.10,24.10,24.10,24.10,36.20,36.20,36.20,39.80,39.80,27.60,27.60,27.60,27.60,27.60,27.60,27.60,29.10,48.50,48.50,71.00,71.00,71.00,71.00,77.80,77.80,77.80,77.80
SMAS,81.80,81.80,81.80,81.80,102.60,102.60,102.60,112.80,112.80,90.00,90.00,90.00,90.00,90.00,90.00,90.00,94.10,161.00,178.60,178.60,178.60,161.00,178.60,178.60,161.00,161.00,192.90
SSAS,56.20,54.90,51.40,51.40,79.00,79.00,77.10,84.80,84.80,63.70,63.70,63.70,63.70,63.70,63.70,63.70,66.60,66.60,66.60,66.60,66.60,66.60,66.60,112.50,112.50,112.50,112.50
SSMS,35.20,35.20,35.20,35.20,54.90,54.90,54.90,60.40,60.40,38.70,38.70,38.70,38.70,38.70,38.70,38.70,40.40,58.50,58.50,58.50,58.50,58.50,58.50,98.60,98.60,98.60,98.60

Prices adjusted by 0% (1.00x multiplier)

Linked Sipp categories (same prices):
EMMS and PSMS
PMMS and PSAS
